model,group,A,B,E,F,N
QLearning+novel,chronic pain,81.5,77.0,31.5,8.0,50
QLearning+novel,chronic pain,95.0,66.5,43.5,2.0,35
QLearning+novel,chronic pain,96.5,73.5,28.0,3.5,43
QLearning+novel,chronic pain,94.0,64.0,41.0,3.0,42
QLearning+novel,chronic pain,72.5,68.0,47.5,27.0,21
QLearning+novel,chronic pain,78.0,53.5,49.5,31.0,25
QLearning+novel,chronic pain,79.0,59.5,33.5,20.5,59
QLearning+novel,chronic pain,67.5,56.5,49.0,30.0,41
QLearning+novel,chronic pain,76.0,63.0,56.0,11.0,36
QLearning+novel,chronic pain,89.5,70.0,42.0,15.5,16
QLearning+novel,chronic pain,97.0,57.5,31.0,1.0,70
QLearning+novel,chronic pain,90.5,71.0,23.0,24.0,32
QLearning+novel,chronic pain,82.5,59.5,38.5,15.0,54
QLearning+novel,chronic pain,87.0,80.5,23.0,12.0,42
QLearning+novel,chronic pain,87.5,66.0,31.0,9.0,57
QLearning+novel,chronic pain,69.5,63.5,55.5,19.5,32
QLearning+novel,chronic pain,86.5,57.0,42.0,17.0,42
QLearning+novel,chronic pain,94.0,68.0,38.0,3.0,40
QLearning+novel,chronic pain,94.0,72.0,47.0,4.5,15
QLearning+novel,chronic pain,57.5,48.0,48.5,50.0,39
QLearning+novel,chronic pain,57.0,60.5,52.0,38.5,33
QLearning+novel,chronic pain,87.5,75.5,33.0,14.0,29
QLearning+novel,chronic pain,94.0,74.5,43.5,1.5,22
QLearning+novel,chronic pain,95.0,69.5,37.0,2.0,40
QLearning+novel,chronic pain,83.0,51.5,40.5,15.0,64
QLearning+novel,chronic pain,95.0,65.5,35.0,6.0,43
QLearning+novel,chronic pain,68.5,66.0,41.5,31.0,35
QLearning+novel,chronic pain,87.5,77.5,40.0,8.5,22
QLearning+novel,chronic pain,96.5,68.5,43.0,7.0,20
QLearning+novel,chronic pain,92.0,59.0,36.5,10.5,50
QLearning+novel,chronic pain,83.0,70.5,56.5,4.5,20
QLearning+novel,chronic pain,76.5,54.5,43.5,37.0,27
QLearning+novel,chronic pain,93.0,68.0,48.0,13.5,7
QLearning+novel,chronic pain,87.5,74.5,42.5,13.5,15
QLearning+novel,chronic pain,78.5,68.0,49.5,27.5,5
QLearning+novel,chronic pain,84.0,63.5,49.5,8.5,36
QLearning+novel,chronic pain,95.0,65.5,32.5,6.5,47
QLearning+novel,chronic pain,84.0,50.0,34.5,8.5,86
QLearning+novel,chronic pain,67.0,66.5,57.5,18.0,30
QLearning+novel,chronic pain,79.5,48.0,45.0,34.0,36
QLearning+novel,chronic pain,87.5,68.5,42.5,21.0,12
QLearning+novel,chronic pain,81.0,52.0,47.5,33.0,22
QLearning+novel,chronic pain,81.5,68.0,35.5,9.5,55
QLearning+novel,chronic pain,89.5,61.5,27.5,6.5,72
QLearning+novel,chronic pain,82.5,50.0,46.5,14.5,59
QLearning+novel,chronic pain,81.5,61.0,38.0,15.5,52
QLearning+novel,chronic pain,79.5,51.0,36.5,12.5,82
QLearning+novel,chronic pain,64.5,52.5,53.0,47.5,16
QLearning+novel,chronic pain,82.5,62.5,42.0,11.5,50
QLearning+novel,chronic pain,99.0,62.0,40.0,7.5,32
QLearning+novel,chronic pain,97.5,60.5,48.5,10.0,17
QLearning+novel,chronic pain,96.5,48.5,44.5,1.0,63
QLearning+novel,chronic pain,83.0,43.5,47.0,19.5,58
QLearning+novel,chronic pain,93.0,49.5,48.5,16.0,34
QLearning+novel,chronic pain,70.5,57.5,45.5,29.0,42
QLearning+novel,chronic pain,51.0,47.5,46.0,34.5,82
QLearning+novel,chronic pain,84.5,78.5,38.5,12.0,22
QLearning+novel,chronic pain,97.0,62.5,29.0,1.0,64
QLearning+novel,chronic pain,95.0,71.0,45.5,1.5,25
QLearning+novel,chronic pain,55.0,52.0,51.0,42.5,46
QLearning+novel,chronic pain,87.0,64.0,32.0,14.5,51
QLearning+novel,chronic pain,91.0,60.0,36.0,12.0,47
QLearning+novel,chronic pain,93.5,75.0,41.0,0.5,30
QLearning+novel,chronic pain,77.5,62.0,37.0,15.0,61
QLearning+novel,chronic pain,65.5,73.5,44.5,29.5,25
QLearning+novel,chronic pain,97.5,50.0,47.0,3.0,50
QLearning+novel,chronic pain,88.5,55.5,33.0,39.0,18
QLearning+novel,chronic pain,97.0,63.0,44.5,3.0,32
QLearning+novel,chronic pain,97.5,65.0,28.5,1.0,60
QLearning+novel,chronic pain,72.0,58.0,51.0,27.0,33
QLearning+novel,chronic pain,90.0,61.5,33.0,3.0,68
QLearning+novel,chronic pain,65.0,57.5,38.5,20.5,80
QLearning+novel,chronic pain,85.0,48.5,45.5,16.5,56
QLearning+novel,chronic pain,93.5,68.5,47.5,10.0,12
QLearning+novel,chronic pain,77.0,42.0,52.5,23.5,56
QLearning+novel,chronic pain,93.0,46.0,44.0,10.5,58
QLearning+novel,chronic pain,89.5,62.0,39.0,23.5,22
QLearning+novel,chronic pain,95.5,70.5,43.0,2.5,27
ActorCritic+novel,chronic pain,93.5,35.5,68.0,2.0,48
ActorCritic+novel,chronic pain,94.5,50.0,54.0,6.0,38
ActorCritic+novel,chronic pain,98.0,64.0,40.0,1.0,41
ActorCritic+novel,chronic pain,97.0,62.5,34.5,9.0,40
ActorCritic+novel,chronic pain,82.5,19.5,87.0,32.0,8
ActorCritic+novel,chronic pain,85.0,48.5,59.5,21.5,19
ActorCritic+novel,chronic pain,71.0,43.0,56.0,22.5,59
ActorCritic+novel,chronic pain,76.0,27.5,84.0,27.0,20
ActorCritic+novel,chronic pain,89.0,40.0,68.0,14.0,27
ActorCritic+novel,chronic pain,90.0,57.5,57.0,15.0,12
ActorCritic+novel,chronic pain,97.5,49.5,36.5,2.5,71
ActorCritic+novel,chronic pain,87.0,63.0,47.0,21.5,14
ActorCritic+novel,chronic pain,80.0,36.0,60.0,18.0,57
ActorCritic+novel,chronic pain,88.5,71.5,39.5,6.5,35
ActorCritic+novel,chronic pain,92.0,53.0,37.5,10.5,58
ActorCritic+novel,chronic pain,86.0,20.0,82.0,15.0,40
ActorCritic+novel,chronic pain,81.0,44.0,57.0,19.5,42
ActorCritic+novel,chronic pain,96.5,36.5,57.5,4.5,55
ActorCritic+novel,chronic pain,97.0,57.5,58.0,2.0,21
ActorCritic+novel,chronic pain,71.0,39.5,60.0,34.5,38
ActorCritic+novel,chronic pain,71.5,39.0,49.0,38.5,50
ActorCritic+novel,chronic pain,91.5,73.5,43.0,5.0,25
ActorCritic+novel,chronic pain,70.0,30.0,84.0,32.5,17
ActorCritic+novel,chronic pain,95.0,68.0,40.0,1.0,40
ActorCritic+novel,chronic pain,82.0,30.0,34.0,41.0,69
ActorCritic+novel,chronic pain,97.0,51.0,41.5,12.0,43
ActorCritic+novel,chronic pain,80.0,42.5,65.0,25.5,25
ActorCritic+novel,chronic pain,90.5,69.0,44.0,11.0,21
ActorCritic+novel,chronic pain,95.5,63.0,46.0,12.5,17
ActorCritic+novel,chronic pain,85.0,52.5,46.5,11.5,54
ActorCritic+novel,chronic pain,84.0,27.5,82.0,30.5,4
ActorCritic+novel,chronic pain,75.0,43.5,58.0,37.0,22
ActorCritic+novel,chronic pain,97.0,60.0,51.5,12.0,10
ActorCritic+novel,chronic pain,93.0,67.0,44.5,11.5,19
ActorCritic+novel,chronic pain,80.0,51.0,56.0,26.5,23
ActorCritic+novel,chronic pain,91.0,24.0,72.0,18.5,36
ActorCritic+novel,chronic pain,93.5,63.5,32.0,8.5,50
ActorCritic+novel,chronic pain,56.5,32.5,71.0,17.0,86
ActorCritic+novel,chronic pain,87.0,39.0,70.5,17.5,22
ActorCritic+novel,chronic pain,83.0,49.0,43.0,32.5,33
ActorCritic+novel,chronic pain,89.0,32.0,72.5,18.0,26
ActorCritic+novel,chronic pain,63.5,51.0,59.5,42.0,17
ActorCritic+novel,chronic pain,89.0,10.0,67.5,29.0,54
ActorCritic+novel,chronic pain,87.0,62.5,30.5,2.0,78
ActorCritic+novel,chronic pain,82.0,47.5,57.0,12.5,48
ActorCritic+novel,chronic pain,81.0,33.5,64.5,15.5,56
ActorCritic+novel,chronic pain,77.5,43.5,49.0,9.5,82
ActorCritic+novel,chronic pain,64.0,35.0,70.0,44.5,22
ActorCritic+novel,chronic pain,96.0,30.5,60.5,12.5,46
ActorCritic+novel,chronic pain,97.0,55.5,55.0,3.5,27
ActorCritic+novel,chronic pain,97.0,51.5,58.0,10.5,17
ActorCritic+novel,chronic pain,96.5,32.5,56.5,2.0,67
ActorCritic+novel,chronic pain,88.0,35.5,54.0,17.5,55
ActorCritic+novel,chronic pain,85.0,28.5,79.5,18.0,29
ActorCritic+novel,chronic pain,75.0,55.5,40.5,33.5,38
ActorCritic+novel,chronic pain,64.0,34.0,55.5,35.0,66
ActorCritic+novel,chronic pain,98.0,59.0,49.0,7.0,22
ActorCritic+novel,chronic pain,97.5,58.5,36.0,1.5,58
ActorCritic+novel,chronic pain,94.0,40.0,67.5,3.0,38
ActorCritic+novel,chronic pain,65.0,42.5,65.5,31.5,38
ActorCritic+novel,chronic pain,87.5,46.0,52.0,13.0,48
ActorCritic+novel,chronic pain,98.5,29.0,58.5,6.5,60
ActorCritic+novel,chronic pain,97.5,65.0,47.0,0.5,29
