model,parameter,F,df_res,df_model,p_value,r_squared,normality,homogeneity
QLearning+novel,factual_lr,0.3016488132837067,236.0,2.0,0.7398824847706269,0.002549827633930968,violated,met
QLearning+novel,counterfactual_lr,0.11303726377973825,236.0,2.0,0.8931657038397119,0.0009570261369817867,violated,met
QLearning+novel,temperature,3.658019489548891,236.0,2.0,0.027256449754330565,0.03006805062993101,violated,met
QLearning+novel,novel_value,2.9843237586045332,236.0,2.0,0.05248593086450551,0.02466702847022595,violated,met
ActorCritic+novel,factual_actor_lr,0.42832727827193184,236.0,2.0,0.6521036459719782,0.0036167637263463392,violated,met
ActorCritic+novel,counterfactual_actor_lr,1.5929404456828673,236.0,2.0,0.20550512743963845,0.013319686260296892,violated,met
ActorCritic+novel,critic_lr,1.94394618959091,236.0,2.0,0.14542315103351436,0.016207122171203125,violated,met
ActorCritic+novel,temperature,1.9652196344686188,236.0,2.0,0.1424115304102608,0.016381578264571983,violated,met
ActorCritic+novel,novel_value,4.0854004061458875,236.0,2.0,0.018020070984288872,0.03346346403873712,violated,met
Relative+novel,factual_lr,1.0393720806254012,236.0,2.0,0.35528987766879017,0.00873133033599538,violated,met
Relative+novel,counterfactual_lr,0.0341010058019785,236.0,2.0,0.966478641585688,0.0002889080825912993,violated,met
Relative+novel,contextual_lr,3.8966490055836265,236.0,2.0,0.021629594433642336,0.03196682630221559,violated,met
Relative+novel,temperature,0.13841465439975983,236.0,2.0,0.870808196332892,0.0011716312158468467,met,met
Relative+novel,novel_value,2.1579447832236114,236.0,2.0,0.11783732474458315,0.017959235131033147,violated,met
wRelative+novel,factual_lr,0.12877204309193402,236.0,2.0,0.8792360878992652,0.001090098888397506,violated,violated
wRelative+novel,counterfactual_lr,0.04356188668495669,236.0,2.0,0.9573809998188825,0.0003690322961177328,violated,met
wRelative+novel,temperature,0.10639498613932658,236.0,2.0,0.8991125575368549,0.0009008401801766652,met,met
wRelative+novel,weighing_factor,3.6672096423176552,236.0,2.0,0.027014579323298735,0.030141314599871794,violated,met
wRelative+novel,novel_value,1.5729975881816973,236.0,2.0,0.209589289284036,0.01315512381481998,violated,met
Hybrid2012+novel,factual_lr,0.3539395587421022,236.0,2.0,0.702289336844317,0.0029905177644419245,violated,met
Hybrid2012+novel,counterfactual_lr,1.7915184223143144,236.0,2.0,0.1689665037980096,0.014955302728515973,violated,met
Hybrid2012+novel,factual_actor_lr,2.025926404099206,236.0,2.0,0.1341587464735396,0.01687907325354343,violated,met
Hybrid2012+novel,counterfactual_actor_lr,2.3171726414083276,236.0,2.0,0.10079012014847538,0.01925886879269012,violated,met
Hybrid2012+novel,critic_lr,2.349389939281963,236.0,2.0,0.09765567163101042,0.01952141128814422,violated,met
Hybrid2012+novel,temperature,0.6247151801262586,236.0,2.0,0.5362969225977894,0.005266315532793109,met,met
Hybrid2012+novel,mixing_factor,1.7464422955207404,236.0,2.0,0.1766394851925836,0.014584502570946678,violated,met
Hybrid2012+novel,novel_value,2.414112395616006,236.0,2.0,0.09165264299944767,0.02004841747854713,violated,met
