model,parameter,condition1,condition2,comparison,t_value,p_value,cohens_d,df,homogeneity_assumption,normality_assumption
QLearning+novel,factual_lr,no pain,acute pain,no pain vs acute pain,0.3658097728178203,0.7149932554951645,0.06135054558086723,159.0,met,violated
QLearning+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,-0.6690226862664298,0.5043195419857407,-0.09941184586112883,184.0,met,violated
QLearning+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,0.161704382988183,0.8717439516027461,0.027119702250500536,159.0,met,violated
QLearning+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,-0.355027993228412,0.722975233715416,-0.05275454609195927,184.0,met,violated
QLearning+novel,temperature,no pain,acute pain,no pain vs acute pain,-1.3518668489950552,0.1783378466440392,-0.2267237643753136,159.0,met,violated
QLearning+novel,temperature,no pain,chronic pain,no pain vs chronic pain,-2.7181531703635966,0.007192392752554396,-0.40389755018189943,184.0,met,violated
QLearning+novel,novel_value,no pain,acute pain,no pain vs acute pain,2.3994159673678395,0.017578127076524137,0.4024099125060068,159.0,met,violated
QLearning+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,0.03907163419157068,0.9688756364685835,0.005805757197070607,184.0,met,violated
ActorCritic+novel,factual_actor_lr,no pain,acute pain,no pain vs acute pain,0.6719768283709967,0.5025736892919812,0.11269831508518166,159.0,met,violated
ActorCritic+novel,factual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-0.35263674179121657,0.7247643988622813,-0.05239922373268877,184.0,met,violated
ActorCritic+novel,counterfactual_actor_lr,no pain,acute pain,no pain vs acute pain,-1.2285455730445098,0.22105754151901272,-0.2060413547638499,159.0,met,violated
ActorCritic+novel,counterfactual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-1.696570158705927,0.09146898438877465,-0.25209783550254394,184.0,met,violated
ActorCritic+novel,critic_lr,no pain,acute pain,no pain vs acute pain,-1.9040867734951425,0.058705090848220384,-0.31933745642552025,159.0,met,violated
ActorCritic+novel,critic_lr,no pain,chronic pain,no pain vs chronic pain,-0.9154147195725074,0.3611720773882512,-0.13602388808218943,184.0,met,violated
ActorCritic+novel,temperature,no pain,acute pain,no pain vs acute pain,-1.7013494192022427,0.0908320856200352,-0.2853360485361653,159.0,met,met
ActorCritic+novel,temperature,no pain,chronic pain,no pain vs chronic pain,-1.5696849100913048,0.11820649592845735,-0.23324362168249937,184.0,met,violated
ActorCritic+novel,novel_value,no pain,acute pain,no pain vs acute pain,2.665928335036443,0.008470667284489277,0.4471071305014933,159.0,met,violated
ActorCritic+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,0.017881772385114226,0.9857525453674145,0.0026570997315400976,184.0,met,violated
Relative+novel,factual_lr,no pain,acute pain,no pain vs acute pain,1.4473914139616335,0.1497561085825492,0.24274434286322955,159.0,met,violated
Relative+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,0.6258274821758318,0.5322036131437275,0.09299335653461824,184.0,met,violated
Relative+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,-0.16941202034368788,0.8656879132603172,-0.028412362512847317,159.0,met,violated
Relative+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,0.12348542506523028,0.9018574992548516,0.018349025069968886,184.0,met,violated
Relative+novel,contextual_lr,no pain,acute pain,no pain vs acute pain,-1.629154806457232,0.10525990239999775,-0.2732281738728177,159.0,met,violated
Relative+novel,contextual_lr,no pain,chronic pain,no pain vs chronic pain,-2.7695099008281865,0.006189452401991968,-0.41152878224275685,184.0,met,violated
Relative+novel,temperature,no pain,acute pain,no pain vs acute pain,-0.4394953985207728,0.6608993589079875,-0.07370848042640532,159.0,met,met
Relative+novel,temperature,no pain,chronic pain,no pain vs chronic pain,0.11392821233966571,0.9094189165145787,0.016928893618765033,184.0,met,met
Relative+novel,novel_value,no pain,acute pain,no pain vs acute pain,1.5553587073742914,0.1218488801708392,0.26085171135897206,159.0,met,violated
Relative+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,-0.6631449197922934,0.5080676644429917,-0.09853845303495214,184.0,met,violated
wRelative+novel,factual_lr,no pain,acute pain,no pain vs acute pain,0.5049191201741184,0.6143147482873046,0.08468079805052327,159.0,met,violated
wRelative+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,0.3170937823866145,0.7516134636706228,0.04830407800924589,149.96480828609958,violated,violated
wRelative+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,0.01293449239704014,0.9896962712489406,0.0021692645312819123,159.0,met,violated
wRelative+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,0.27854197629465033,0.7809091293695087,0.04138928706257749,184.0,met,violated
wRelative+novel,temperature,no pain,acute pain,no pain vs acute pain,-0.46517210947226323,0.6424446656235311,-0.07801476293346311,159.0,met,met
wRelative+novel,temperature,no pain,chronic pain,no pain vs chronic pain,-0.051539782170942065,0.9589513114647192,-0.007658432196802089,184.0,met,met
wRelative+novel,weighing_factor,no pain,acute pain,no pain vs acute pain,-1.485467101066237,0.13940013452413796,-0.24913007761066386,159.0,met,violated
wRelative+novel,weighing_factor,no pain,chronic pain,no pain vs chronic pain,-2.648925603179526,0.008776790378023371,-0.39361084334890717,184.0,met,violated
wRelative+novel,novel_value,no pain,acute pain,no pain vs acute pain,1.5666988463935185,0.11917314389989782,0.262753584319974,159.0,met,violated
wRelative+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,-0.27347357928374244,0.7847959221110089,-0.040636160580091174,184.0,met,violated
Hybrid2012+novel,factual_lr,no pain,acute pain,no pain vs acute pain,-0.7134202375604548,0.4766315819877164,-0.11964885592207347,159.0,met,violated
Hybrid2012+novel,factual_lr,no pain,chronic pain,no pain vs chronic pain,-0.6838994272384322,0.4948990594925057,-0.10162242004760072,184.0,met,violated
Hybrid2012+novel,counterfactual_lr,no pain,acute pain,no pain vs acute pain,0.9659314030920447,0.33554538854708316,0.16199790977946965,159.0,met,violated
Hybrid2012+novel,counterfactual_lr,no pain,chronic pain,no pain vs chronic pain,1.8653223849170644,0.06372822780549688,0.2771731739704283,184.0,met,violated
Hybrid2012+novel,factual_actor_lr,no pain,acute pain,no pain vs acute pain,1.3645923107231266,0.17430934182965274,0.22885797203677608,159.0,met,violated
Hybrid2012+novel,factual_actor_lr,no pain,chronic pain,no pain vs chronic pain,1.8900962187486041,0.06031727207030415,0.2808543832938286,184.0,met,violated
Hybrid2012+novel,counterfactual_actor_lr,no pain,acute pain,no pain vs acute pain,-1.5396740658586465,0.12562758883399844,-0.25822121489406663,159.0,met,violated
Hybrid2012+novel,counterfactual_actor_lr,no pain,chronic pain,no pain vs chronic pain,-1.9622553849830742,0.051240692877028475,-0.2915767041633961,184.0,met,violated
Hybrid2012+novel,critic_lr,no pain,acute pain,no pain vs acute pain,-2.1561383633561024,0.03257623510223308,-0.36160943410774576,159.0,met,violated
Hybrid2012+novel,critic_lr,no pain,chronic pain,no pain vs chronic pain,-0.4668422000522993,0.6411650835848333,-0.06936931405430308,184.0,met,violated
Hybrid2012+novel,temperature,no pain,acute pain,no pain vs acute pain,-0.5028851397085183,0.6157408941983763,-0.08433967591399812,159.0,met,met
Hybrid2012+novel,temperature,no pain,chronic pain,no pain vs chronic pain,-1.1188329847965417,0.26466989380879197,-0.1662503447374077,184.0,met,met
Hybrid2012+novel,mixing_factor,no pain,acute pain,no pain vs acute pain,0.9533203622437982,0.3418748072452128,0.15988289182786383,159.0,met,violated
Hybrid2012+novel,mixing_factor,no pain,chronic pain,no pain vs chronic pain,1.8039094231017199,0.07288114449281956,0.2680476599644188,184.0,met,violated
Hybrid2012+novel,novel_value,no pain,acute pain,no pain vs acute pain,2.2175636850195253,0.028002590826412377,0.3719111736361974,159.0,met,violated
Hybrid2012+novel,novel_value,no pain,chronic pain,no pain vs chronic pain,0.43578548194217515,0.6635031925871288,0.06475451438144615,184.0,met,violated
